Date/Time,Cyano,Total Conc.,Turbidity,Depth,Longitude,Latitude,Sensor temp.,LED 1 [470 nm],LED 2 [610 nm],LED 3 [525 nm],LED 4 [700 nm],Cyano_1,Total cell count,Raw depth data
6/14/2017 2:46:49 PM,128.50,406.40,87.20,0.00,--,--,23.10,671713.00,684015.00,1280080.00,848856.00,128500,275787,0.00
6/14/2017 2:47:08 PM,129.30,411.10,88.40,0.00,--,--,23.70,676121.00,690215.00,1290966.00,857487.00,129300,278654,0.00
6/14/2017 2:47:28 PM,129.30,411.80,88.60,0.00,--,--,23.90,678074.00,691060.00,1293180.00,858815.00,129300,279025,0.00
6/14/2017 2:47:45 PM,129.30,412.70,88.70,0.00,--,--,24.10,680452.00,691725.00,1295941.00,859640.00,129300,279502,0.00
6/14/2017 2:48:04 PM,129.60,414.90,89.00,0.00,--,--,24.30,684958.00,694132.00,1302134.00,862072.00,129600,280809,0.00
6/14/2017 2:48:23 PM,129.30,414.30,88.90,0.00,--,--,24.30,684872.00,692793.00,1301023.00,861246.00,129300,280350,0.00
6/14/2017 2:48:43 PM,129.00,413.60,88.90,0.00,--,--,24.30,684795.00,691890.00,1299726.00,860656.00,129000,279838,0.00
6/14/2017 2:49:02 PM,129.00,414.30,88.90,0.00,--,--,24.40,685655.00,691762.00,1301715.00,861099.00,129000,280209,0.00
6/14/2017 2:49:21 PM,129.20,414.50,88.90,0.00,--,--,24.50,684639.00,691962.00,1301638.00,861384.00,129200,280409,0.00
6/14/2017 2:49:40 PM,128.80,414.50,88.90,0.00,--,--,24.50,683028.00,689755.00,1301676.00,861415.00,128800,280221,0.00
6/14/2017 2:49:59 PM,148.90,420.80,89.00,0.00,--,--,24.60,636552.00,691884.00,1302286.00,861950.00,148900,293007,0.00
6/14/2017 2:50:19 PM,129.20,414.50,89.00,0.00,--,--,24.60,681768.00,691312.00,1300762.00,861784.00,129200,280409,0.00
6/14/2017 2:50:38 PM,148.40,420.10,88.90,0.00,--,--,24.60,636976.00,690452.00,1301594.00,861078.00,148400,292401,0.00
6/14/2017 2:50:57 PM,129.00,414.50,88.90,0.00,--,--,24.60,680353.00,690208.00,1300343.00,860624.00,129000,280315,0.00
6/14/2017 2:51:16 PM,129.20,415.40,88.90,0.00,--,--,24.70,681662.00,690787.00,1302810.00,861654.00,129200,280886,0.00
6/14/2017 2:51:36 PM,129.20,415.40,88.90,0.00,--,--,24.70,681417.00,690317.00,1302616.00,861309.00,129200,280886,0.00
6/14/2017 2:51:55 PM,144.60,422.30,89.00,0.00,--,--,24.80,679933.00,690890.00,1304368.00,862375.00,144600,291781,0.00
6/14/2017 2:52:14 PM,129.20,415.70,89.00,0.00,--,--,24.80,681538.00,690513.00,1303352.00,862345.00,129200,281045,0.00
6/14/2017 2:52:33 PM,144.50,421.90,88.90,0.00,--,--,24.80,680089.00,690416.00,1303335.00,861278.00,144500,291522,0.00
6/14/2017 2:52:53 PM,144.50,422.00,88.90,0.00,--,--,24.80,678494.00,690123.00,1303535.00,861673.00,144500,291575,0.00
6/14/2017 2:53:12 PM,148.40,420.80,88.90,0.00,--,--,24.80,636813.00,689757.00,1303352.00,861566.00,148400,292772,0.00
6/14/2017 2:53:31 PM,144.30,422.20,89.00,0.00,--,--,24.90,679575.00,689684.00,1304487.00,862507.00,144300,291587,0.00
6/14/2017 2:53:50 PM,144.30,422.00,89.00,0.00,--,--,24.90,681033.00,690387.00,1304628.00,862218.00,144300,291481,0.00
6/14/2017 2:54:10 PM,144.50,422.40,89.00,0.00,--,--,24.90,679299.00,690228.00,1304419.00,862199.00,144500,291787,0.00
6/14/2017 2:54:29 PM,144.30,422.00,89.00,0.00,--,--,24.90,680116.00,689833.00,1303999.00,861755.00,144300,291481,0.00
6/14/2017 2:54:48 PM,144.20,422.10,89.00,0.00,--,--,24.90,679271.00,689109.00,1304081.00,861977.00,144200,291487,0.00
6/14/2017 2:55:07 PM,148.30,420.90,89.00,0.00,--,--,24.90,637544.00,689430.00,1303814.00,862107.00,148300,292778,0.00
6/14/2017 2:55:26 PM,144.30,422.00,89.00,0.00,--,--,24.90,679362.00,689685.00,1303757.00,861906.00,144300,291481,0.00
6/14/2017 2:55:46 PM,144.20,422.60,89.20,0.00,--,--,25.00,679834.00,689378.00,1305557.00,862969.00,144200,291752,0.00
6/14/2017 2:56:05 PM,148.30,421.60,89.20,0.00,--,--,25.00,638126.00,690314.00,1305535.00,862921.00,148300,293149,0.00
6/14/2017 2:56:24 PM,144.30,422.90,89.00,0.00,--,--,25.00,678895.00,689264.00,1305909.00,862559.00,144300,291958,0.00
6/14/2017 2:56:43 PM,144.60,423.90,89.20,0.00,--,--,25.10,679871.00,690849.00,1307955.00,863887.00,144600,292629,0.00
6/14/2017 2:57:03 PM,144.50,423.20,89.00,0.00,--,--,25.00,678356.00,689659.00,1306040.00,862484.00,144500,292211,0.00
6/14/2017 2:57:22 PM,144.60,423.70,89.20,0.00,--,--,25.10,680101.00,691087.00,1307381.00,863729.00,144600,292523,0.00
6/14/2017 2:57:41 PM,144.60,423.70,89.20,0.00,--,--,25.10,679201.00,690650.00,1307534.00,863571.00,144600,292523,0.00
6/14/2017 2:58:00 PM,144.50,423.80,89.20,0.00,--,--,25.10,680260.00,690610.00,1308180.00,863583.00,144500,292529,0.00
6/14/2017 2:58:20 PM,144.60,423.70,89.20,0.00,--,--,25.10,678782.00,690617.00,1307192.00,863479.00,144600,292523,0.00
6/14/2017 2:58:39 PM,144.60,423.70,89.20,0.00,--,--,25.10,679282.00,690547.00,1307503.00,863384.00,144600,292523,0.00
6/14/2017 2:58:58 PM,144.30,423.40,89.20,0.00,--,--,25.10,680894.00,690263.00,1307602.00,863290.00,144300,292223,0.00
6/14/2017 2:59:17 PM,144.50,423.60,89.20,0.00,--,--,25.10,679819.00,690236.00,1307614.00,863285.00,144500,292423,0.00
6/14/2017 2:59:37 PM,144.50,423.60,89.20,0.00,--,--,25.10,680206.00,690217.00,1307474.00,863022.00,144500,292423,0.00
6/15/2017 10:26:20 AM,2.00,8.80,2.80,0.00,-71.573746,41.515423,27.20,57164.00,17349.00,48697.00,40398.00,2000,5604,0.00
6/15/2017 10:27:17 AM,2.00,9.00,2.70,0.00,-71.573730,41.515448,26.50,58545.00,17462.00,49330.00,39477.00,2000,5710,0.00
6/15/2017 10:27:46 AM,2.00,8.90,2.70,0.00,-71.573766,41.515436,26.50,58175.00,17628.00,49204.00,39550.00,2000,5657,0.00
6/15/2017 10:37:40 AM,2.30,9.70,2.70,0.00,-71.571453,41.513433,24.60,60438.00,18837.00,53298.00,39570.00,2300,6222,0.00
6/15/2017 10:38:17 AM,2.40,10.10,2.70,0.00,-71.571421,41.513506,25.10,62223.00,19801.00,54999.00,39208.00,2400,6481,0.00
6/15/2017 10:39:27 AM,2.50,9.10,2.70,0.00,-71.571398,41.513516,24.60,55459.00,18753.00,50389.00,39405.00,2500,5998,0.00
6/15/2017 10:52:39 AM,2.70,11.30,2.80,0.00,-71.569781,41.510145,25.70,68905.00,21671.00,60306.00,40157.00,2700,7258,0.00
6/15/2017 10:53:07 AM,2.50,11.20,2.70,0.00,-71.569698,41.510028,26.20,68892.00,21040.00,60366.00,40079.00,2500,7111,0.00
6/15/2017 10:53:33 AM,2.60,11.10,2.80,0.00,-71.569725,41.510010,26.10,67621.00,20599.00,59408.00,40152.00,2600,7105,0.00
6/15/2017 11:03:43 AM,1.80,7.20,2.60,0.00,-71.570525,41.507978,26.30,48435.00,15392.00,40216.00,38474.00,1800,4662,0.00
6/15/2017 11:04:10 AM,1.80,7.10,2.70,0.00,-71.570548,41.507935,26.90,47330.00,15633.00,39991.00,39199.00,1800,4609,0.00
6/15/2017 11:04:35 AM,1.80,7.00,2.60,0.00,-71.570573,41.507918,26.80,47267.00,15149.00,39079.00,38377.00,1800,4556,0.00
6/15/2017 11:13:19 AM,1.50,6.20,2.70,0.00,-71.573033,41.508456,27.30,43581.00,13363.00,36274.00,39062.00,1500,3991,0.00
6/15/2017 11:13:47 AM,1.40,6.20,2.70,0.00,-71.573035,41.508443,27.60,43835.00,13334.00,36911.00,39465.00,1400,3944,0.00
6/15/2017 11:14:17 AM,1.60,6.20,3.40,0.00,-71.573018,41.508465,27.00,42472.00,14114.00,36045.00,47112.00,1600,4038,0.00
6/15/2017 11:26:22 AM,2.40,10.00,3.00,0.00,-71.572823,41.510665,28.50,60792.00,18717.00,55617.00,42621.00,2400,6428,0.00
6/15/2017 11:26:56 AM,2.40,10.10,3.00,0.00,-71.572820,41.510646,28.40,61872.00,18917.00,55113.00,42711.00,2400,6481,0.00
6/15/2017 11:27:28 AM,2.40,10.30,3.10,0.00,-71.572830,41.510651,27.60,63107.00,19063.00,56551.00,43868.00,2400,6587,0.00
6/15/2017 11:39:26 AM,1.90,8.10,2.90,0.00,-71.575425,41.512855,28.40,53490.00,16456.00,45841.00,41756.00,1900,5186,0.00
6/15/2017 11:39:51 AM,2.00,8.00,2.90,0.00,-71.575398,41.512721,28.80,51609.00,16537.00,44658.00,41346.00,2000,5180,0.00
6/15/2017 11:40:16 AM,1.80,7.90,2.80,0.00,-71.575543,41.512883,28.10,52542.00,15926.00,44373.00,41236.00,1800,5033,0.00
6/15/2017 1:21:39 PM,1.90,12.00,4.60,0.00,-71.410326,41.725596,26.60,71333.00,21453.00,45546.00,60477.00,1900,6869,0.00
6/15/2017 1:22:13 PM,1.90,11.90,4.40,0.00,-71.410346,41.725591,26.80,71353.00,21349.00,45565.00,58225.00,1900,6824,0.00
6/15/2017 1:22:41 PM,1.80,12.00,4.30,0.00,-71.410366,41.725651,26.60,73359.00,20915.00,47081.00,57477.00,1800,6846,0.00
6/15/2017 1:37:16 PM,1.70,11.00,4.30,0.00,-71.411868,41.723125,23.20,66142.00,19984.00,41083.00,58098.00,1700,6221,0.00
6/15/2017 1:37:49 PM,1.80,11.30,4.40,0.00,-71.411751,41.722918,23.90,66445.00,20624.00,41065.00,58581.00,1800,6403,0.00
6/15/2017 1:38:30 PM,1.80,12.50,4.40,0.00,-71.411755,41.722923,24.30,73280.00,21278.00,44528.00,58195.00,1800,6991,0.00
6/15/2017 1:42:36 PM,0.00,0.00,0.00,0.00,-71.411826,41.722956,24.30,-4015.00,-699.00,-1664.00,-1619.00,0,0,0.00
6/15/2017 1:54:46 PM,1.60,11.00,4.20,0.00,-71.411048,41.721515,24.90,66484.00,19528.00,40884.00,56770.00,1600,6166,0.00
6/15/2017 1:55:16 PM,1.70,10.10,4.30,0.00,-71.411075,41.721538,25.40,61135.00,19264.00,38887.00,57986.00,1700,5800,0.00
6/15/2017 1:55:43 PM,1.80,11.70,4.30,0.00,-71.411086,41.721505,25.60,68314.00,20621.00,41135.00,57183.00,1800,6567,0.00
6/15/2017 2:05:54 PM,1.70,13.00,4.50,0.00,-71.414476,41.720248,23.40,75123.00,21452.00,43454.00,59883.00,1700,7113,0.00
6/15/2017 2:06:25 PM,1.70,11.70,4.50,0.00,-71.414498,41.720355,24.10,68340.00,20657.00,40820.00,59624.00,1700,6504,0.00
6/15/2017 2:06:50 PM,1.80,11.70,4.40,0.00,-71.414525,41.720361,24.60,67390.00,20739.00,40081.00,59241.00,1800,6543,0.00
6/15/2017 2:15:45 PM,1.70,11.00,4.60,0.00,-71.413841,41.722548,23.90,65978.00,20007.00,41597.00,60914.00,1700,6245,0.00
6/15/2017 2:16:12 PM,1.70,12.40,4.60,0.00,-71.413986,41.722613,24.60,71549.00,21065.00,41544.00,61452.00,1700,6811,0.00
6/15/2017 2:16:38 PM,1.80,11.60,4.50,0.00,-71.413935,41.722533,24.90,67918.00,20884.00,41478.00,59670.00,1800,6538,0.00
6/15/2017 2:26:55 PM,0.00,0.00,0.00,0.00,-71.415201,41.725436,0.00,0.00,0.00,0.00,0.00,0,0,0.00
6/15/2017 2:27:06 PM,0.00,0.00,0.00,0.00,-71.415196,41.725460,0.00,0.00,0.00,0.00,0.00,0,0,0.00
6/15/2017 2:28:00 PM,1.80,12.10,4.30,0.00,-71.415201,41.725463,22.90,71164.00,21340.00,43547.00,57517.00,1800,6795,0.00
6/15/2017 2:28:40 PM,1.70,12.40,4.30,0.00,-71.415211,41.725503,23.40,72921.00,20932.00,43981.00,58117.00,1700,6883,0.00
6/15/2017 2:29:12 PM,2.00,12.30,4.30,0.00,-71.415216,41.725505,24.10,71822.00,22011.00,44322.00,58130.00,2000,7003,0.00
6/15/2017 2:29:43 PM,1.80,12.60,4.40,0.00,-71.415230,41.725501,24.60,74375.00,21584.00,45449.00,58332.00,1800,7052,0.00
6/15/2017 2:38:13 PM,0.00,0.00,0.00,0.00,-71.414000,41.726921,0.00,0.00,0.00,0.00,0.00,0,0,0.00
6/15/2017 2:39:13 PM,1.60,11.60,4.60,0.00,-71.413985,41.726913,23.20,68550.00,20114.00,40477.00,60494.00,1600,6396,0.00
6/15/2017 2:39:22 PM,1.60,11.60,4.60,0.00,-71.413978,41.726900,0.00,0.00,0.00,0.00,0.00,1600,6396,0.00
6/15/2017 2:39:54 PM,1.80,12.70,4.50,0.00,-71.413968,41.726900,23.90,74273.00,21863.00,45030.00,60125.00,1800,7081,0.00
6/15/2017 2:40:21 PM,1.60,11.60,4.50,0.00,-71.413983,41.726918,24.40,70357.00,20083.00,43981.00,60066.00,1600,6500,0.00
6/19/2017 4:21:13 PM,-1.00,-1.00,-1.00,0.00,--,--,21.90,101586.00,430677.00,414978.00,1503788.00,-0,-0,0.00
