day,month,year,waterbody,mesh,variable,value,class,
12,6,2017,yawgoo,150,dilution,150,na ,
12,6,2017,yawgoo,150,aliquots,6,na ,
12,6,2017,yawgoo,150,calanoid,247,copepod,
12,6,2017,yawgoo,150,cyclopoid,46,copepod,
12,6,2017,yawgoo,150,harpactacoid,1,copepod,
12,6,2017,yawgoo,150,daphnia,40,cladocera,
12,6,2017,yawgoo,150,pleuroxas,1,cladocera,
12,6,2017,yawgoo,150,bosmina,1,cladocera,
12,6,2017,yawgoo,150,polyphemus,1,cladocera,
12,6,2017,warwick,150,dilution,150,na ,
12,6,2017,warwick,150,aliquots,3,na ,
12,6,2017,warwick,150,calanoid,2,copepod,
12,6,2017,warwick,150,cyclopoid,147,copepod,
12,6,2017,warwick,150,harpactacoid,4,copepod,
12,6,2017,warwick,150,bosmina,59,cladocera,
12,6,2017,warwick,150,daphnia,212,cladocera,
8,6,2017,yawgoo,150,dilution,150,na ,
8,6,2017,yawgoo,150,aliquots,5,na ,
8,6,2017,yawgoo,150,calanoid,210,copepod,
8,6,2017,yawgoo,150,cyclopoid,35,copepod,
8,6,2017,yawgoo,150,daphnia,70,cladocera,
8,6,2017,yawgoo,150,diaphanosoma,1,cladocera,
8,6,2017,yawgoo,150,alona,1,cladocera,
8,6,2017,yawgoo,150,bosmina,1,cladocera,
8,6,2017,warwick,150,dilution,150,na ,
8,6,2017,warwick,150,aliquots,3,na ,
8,6,2017,warwick,150,cyclopoid,136,copepod,
8,6,2017,warwick,150,harpactacoid,1,copepod,
8,6,2017,warwick,150,bosmina,320,cladocera,
8,6,2017,warwick,150,daphnia,198,cladocera,
22,6,2017,warwick,150,dilution,100,na ,
22,6,2017,warwick,150,aliquots,6,na ,
22,6,2017,warwick,150,cyclopoid,240,copepod,
22,6,2017,warwick,150,bosmina,62,cladocera,
22,6,2017,warwick,150,daphnia,3,cladocera,
22,6,2017,warwick,150,eubosmina,4,cladocera,
22,6,2017,warwick,150,chydorus,1,cladocera,
22,6,2017,yawgoo,150,dilution,150,na ,
22,6,2017,yawgoo,150,aliquots,4,na ,
22,6,2017,yawgoo,150,calanoid,209,copepod,
22,6,2017,yawgoo,150,cyclopoid,58,copepod,
22,6,2017,yawgoo,150,daphnia,152,cladocera,
22,6,2017,yawgoo,150,ceriodaphnia,2,cladocera,
22,6,2017,yawgoo,150,bosmina,1,cladocera,
28,6,2017,yawgoo,150,dilution,150,na ,
28,6,2017,yawgoo,150,aliquots,3,na ,
28,6,2017,yawgoo,150,calanoid,141,copepod,
28,6,2017,yawgoo,150,cyclopoid,54,copepod,
28,6,2017,yawgoo,150,daphnia,212,cladocera,
28,6,2017,yawgoo,150,bosmina,1,cladocera,
28,6,2017,warwick,150,dilution,50,na ,
28,6,2017,warwick,150,aliquots,11,na ,
28,6,2017,warwick,150,calanoid,4,copepod,
28,6,2017,warwick,150,cyclopoid,205,copepod,
28,6,2017,warwick,150,eubosmina,1,cladocera,
28,6,2017,warwick,150,bosmina,17,cladocera,
28,6,2017,warwick,150,daphnia,1,cladocera,
8,6,2017,yawgoo,50,dilution,150,na ,
8,6,2017,yawgoo,50,aliquots,4,na ,
8,6,2017,yawgoo,50,calanoid,196,copepod,
8,6,2017,yawgoo,50,cyclopoid,26,copepod,
8,6,2017,yawgoo,50,nauplii,85,nauplii,
8,6,2017,yawgoo,50,rotifer,140,rotifer,
8,6,2017,yawgoo,50,daphnia,85,cladocera,
8,6,2017,yawgoo,50,diaphanosoma,4,cladocera,
8,6,2017,yawgoo,50,bosmina,2,cladocera,
8,6,2017,yawgoo,50,eubosmina,1,cladocera,
8,6,2017,yawgoo,50,polyphemus,1,cladocera,
8,6,2017,yawgoo,50,alona,1,cladocera,
8,6,2017,warwick,50,dilution,200,na ,
8,6,2017,warwick,50,aliquots,4,na ,
8,6,2017,warwick,50,calanoid,1,copepod,
8,6,2017,warwick,50,cyclopoid,169,copepod,
8,6,2017,warwick,50,nauplii,100,nauplii,
8,6,2017,warwick,50,rotifer,294,rotifer,
8,6,2017,warwick,50,bosmina,234,cladocera,
8,6,2017,warwick,50,daphnia,120,cladocera,
8,6,2017,warwick,50,ceriodaphnia,1,cladocera,
12,6,2017,yawgoo,50,dilution,200,na ,
12,6,2017,yawgoo,50,aliquots,9,na ,
12,6,2017,yawgoo,50,calanoid,231,copepod,
12,6,2017,yawgoo,50,cyclopoid,64,copepod,
12,6,2017,yawgoo,50,nauplii,182,nauplii,
12,6,2017,yawgoo,50,rotifer,293,rotifer,
12,6,2017,yawgoo,50,daphnia,60,cladocera,
12,6,2017,yawgoo,50,bosmina,4,cladocera,
12,6,2017,yawgoo,50,diaphanosoma,1,cladocera,
12,6,2017,warwick,50,dilution,200,na ,
12,6,2017,warwick,50,aliquots,4,na ,
12,6,2017,warwick,50,calanoid,1,copepod,
12,6,2017,warwick,50,cyclopoid,155,copepod,
12,6,2017,warwick,50,nauplii,168,nauplii,
12,6,2017,warwick,50,rotifer,555,rotifer,
12,6,2017,warwick,50,bosmina,92,cladocera,
12,6,2017,warwick,50,daphnia,236,cladocera,
12,6,2017,warwick,50,ceriodaphnia,10,cladocera,
22,6,2017,yawgoo,50,dilution,150,na ,
22,6,2017,yawgoo,50,aliquots,7,na ,
22,6,2017,yawgoo,50,calanoid,199,copepod,
22,6,2017,yawgoo,50,cyclopoid,48,copepod,
22,6,2017,yawgoo,50,nauplii,394,nauplii,
22,6,2017,yawgoo,50,rotifer,409,rotifer,
22,6,2017,yawgoo,50,daphnia,119,cladocera,
22,6,2017,yawgoo,50,eubosmina,1,cladocera,
22,6,2017,yawgoo,50,moina,3,cladocera,
22,6,2017,yawgoo,50,bosmina,1,cladocera,
22,6,2017,warwick,50,dilution,150,na ,
22,6,2017,warwick,50,aliquots,7,na ,
22,6,2017,warwick,50,cyclopoid,101,copepod,
22,6,2017,warwick,50,nauplii,466,nauplii,
22,6,2017,warwick,50,rotifer,1991,rotifer,
22,6,2017,warwick,50,bosmina,96,cladocera,
22,6,2017,warwick,50,daphnia,6,cladocera,
22,6,2017,warwick,50,eubosmina,1,cladocera,
22,6,2017,warwick,50,chydorus,1,cladocera,
28,6,2017,yawgoo,50,dilution,150,na ,
28,6,2017,yawgoo,50,aliquots,10,na ,
28,6,2017,yawgoo,50,calanoid,178,copepod,
28,6,2017,yawgoo,50,cyclopoid,94,copepod,
28,6,2017,yawgoo,50,nauplii,543,nauplii,
28,6,2017,yawgoo,50,rotifer,309,rotifer,
28,6,2017,yawgoo,50,daphnia,203,cladocera,
28,6,2017,yawgoo,50,eubosmina,1,cladocera,
28,6,2017,yawgoo,50,bosmina,1,cladocera,
28,6,2017,yawgoo,50,moina,1,cladocera,
28,6,2017,warwick,50,dilution,75,na ,
28,6,2017,warwick,50,aliquots,10,na ,
28,6,2017,warwick,50,cyclopoid,91,copepod,
28,6,2017,warwick,50,nauplii,301,nauplii,
28,6,2017,warwick,50,rotifer,2314,rotifer,
28,6,2017,warwick,50,bosmina,22,cladocera,
5,7,2017,warwick,50,dilution,75,na ,
5,7,2017,warwick,50,aliquots,5,na ,
5,7,2017,warwick,50,cyclopoid,32,copepod,
5,7,2017,warwick,50,nauplii,267,nauplii,
5,7,2017,warwick,50,rotifer,7243,rotifer,
5,7,2017,warwick,50,bosmina,5,cladocera,
5,7,2017,warwick,50,daphnia,2,cladocera,
10,7,2017,warwick,50,dilution,75,na ,
10,7,2017,warwick,50,aliquots,5,na ,
10,7,2017,warwick,50,calanoid,1,copepod,
10,7,2017,warwick,50,cyclopoid,8,copepod,
10,7,2017,warwick,50,nauplii,200,nauplii,
10,7,2017,warwick,50,rotifer,5929,rotifer,
10,7,2017,warwick,50,diaphanosoma,1,cladocera,
10,7,2017,warwick,50,bosmina,1,cladocera,
17,7,2017,warwick,50,dilution,75,na ,
17,7,2017,warwick,50,aliquots,5,na ,
17,7,2017,warwick,50,cyclopoid,6,copepod,
17,7,2017,warwick,50,nauplii,132,nauplii,
17,7,2017,warwick,50,rotifer,1163,rotifer,
17,7,2017,warwick,50,bosmina,2,cladocera,
17,7,2017,warwick,50,eubosmina,1,cladocera,
17,7,2017,warwick,50,daphnia,2,cladocera,
26,7,2017,warwick,50,dilution,75,na ,
26,7,2017,warwick,50,aliquots,5,na ,
26,7,2017,warwick,50,cyclopoid,9,copepod,
26,7,2017,warwick,50,nauplii,143,nauplii,
26,7,2017,warwick,50,rotifer,490,rotifer,
26,7,2017,warwick,50,bosmina,1,cladocera,
2,8,2017,warwick,50,dilution,75,na ,
2,8,2017,warwick,50,aliquots,5,na ,
2,8,2017,warwick,50,calanoid,2,copepod,
2,8,2017,warwick,50,cyclopoid,8,copepod,
2,8,2017,warwick,50,nauplii,327,nauplii,
2,8,2017,warwick,50,rotifer,1127,rotifer,
2,8,2017,warwick,50,alona,1,cladocera,
2,8,2017,warwick,50,eubosmina,1,cladocera,
2,8,2017,warwick,50,bosmina,1,cladocera,
9,8,2017,warwick,50,dilution,75,na ,
9,8,2017,warwick,50,aliquots,5,na ,
9,8,2017,warwick,50,cyclopoid,7,copepod,
9,8,2017,warwick,50,nauplii,304,nauplii,
9,8,2017,warwick,50,rotifer,5264,rotifer,
9,8,2017,warwick,50,bosmina,5,cladocera,
14,8,2017,warwick,50,dilution,75,na ,
14,8,2017,warwick,50,aliquots,5,na ,
14,8,2017,warwick,50,calanoid,1,copepod,
14,8,2017,warwick,50,cyclopoid,17,copepod,
14,8,2017,warwick,50,nauplii,521,nauplii,
14,8,2017,warwick,50,rotifer,9411,rotifer,
14,8,2017,warwick,50,bosmina,4,cladocera,
14,8,2017,warwick,50,alona,1,cladocera,
14,8,2017,warwick,50,eubosmina,1,cladocera,
24,8,2017,warwick,50,dilution,50,na ,
24,8,2017,warwick,50,aliquots,5,na ,
24,8,2017,warwick,50,cyclopoid,29,copepod,
24,8,2017,warwick,50,nauplii,327,nauplii,
24,8,2017,warwick,50,rotifer,4602,rotifer,
24,8,2017,warwick,50,bosmina,3,cladocera,
28,8,2017,warwick,50,dilution,75,na ,
28,8,2017,warwick,50,aliquots,5,na ,
28,8,2017,warwick,50,cyclopoid,74,copepod,
28,8,2017,warwick,50,nauplii,463,nauplii,
28,8,2017,warwick,50,rotifer,5309,rotifer,
28,8,2017,warwick,50,bosmina,24,cladocera,
28,8,2017,warwick,50,ceriodaphnia,1,cladocera,
28,8,2017,warwick,50,chaoborus,2,chaoborus,
5,9,2017,warwick,50,dilution,75,na ,
5,9,2017,warwick,50,aliquots,5,na ,
5,9,2017,warwick,50,cyclopoid,90,copepod,
5,9,2017,warwick,50,nauplii,1091,nauplii,
5,9,2017,warwick,50,rotifer,9180,rotifer,
5,9,2017,warwick,50,bosmina,36,cladocera,
5,9,2017,warwick,50,eubosmina,1,cladocera,
5,9,2017,warwick,50,chaoborus,1,chaoborus,
12,9,2017,warwick,50,dilution,75,na ,
12,9,2017,warwick,50,aliquots,5,na ,
12,9,2017,warwick,50,cyclopoid,100,copepod,
12,9,2017,warwick,50,nauplii,472,nauplii,
12,9,2017,warwick,50,rotifer,7614,rotifer,
12,9,2017,warwick,50,bosmina,27,cladocera,
12,9,2017,warwick,50,chaoborus,3,chaoborus,
18,9,2017,warwick,50,dilution,75,na ,
18,9,2017,warwick,50,aliquots,5,na ,
18,9,2017,warwick,50,cyclopoid,22,copepod,
18,9,2017,warwick,50,nauplii,157,nauplii,
18,9,2017,warwick,50,rotifer,3822,rotifer,
18,9,2017,warwick,50,bosmina,17,cladocera,
18,9,2017,warwick,50,eubosmina,1,cladocera,
18,9,2017,warwick,50,chaoborus,1,chaoborus,
25,9,2017,warwick,50,dilution,75,na ,
25,9,2017,warwick,50,aliquots,5,na ,
25,9,2017,warwick,50,cyclopoid,49,copepod,
25,9,2017,warwick,50,nauplii,20,nauplii,
25,9,2017,warwick,50,rotifer,2838,rotifer,
25,9,2017,warwick,50,bosmina,25,cladocera,
25,9,2017,warwick,50,daphnia,1,cladocera,
2,10,2017,warwick,50,dilution,75,na ,
2,10,2017,warwick,50,aliquots,5,na ,
2,10,2017,warwick,50,cyclopoid,15,copepod,
2,10,2017,warwick,50,nauplii,85,nauplii,
2,10,2017,warwick,50,rotifer,7741,rotifer,
2,10,2017,warwick,50,bosmina,18,cladocera,
10,10,2017,warwick,50,dilution,75,na ,
10,10,2017,warwick,50,aliquots,3,na ,
10,10,2017,warwick,50,calanoid,1,copepod,
10,10,2017,warwick,50,cyclopoid,39,copepod,
10,10,2017,warwick,50,nauplii,188,nauplii,
10,10,2017,warwick,50,rotifer,9314,rotifer,
10,10,2017,warwick,50,bosmina,40,cladocera,
16,10,2017,warwick,50,dilution,50,na ,
16,10,2017,warwick,50,aliquots,5,na ,
16,10,2017,warwick,50,cyclopoid,82,copepod,
16,10,2017,warwick,50,nauplii,57,nauplii,
16,10,2017,warwick,50,rotifer,880,rotifer,
16,10,2017,warwick,50,bosmina,57,cladocera,
16,10,2017,warwick,50,eubosmina,1,cladocera,
1,11,2017,warwick,50,dilution,100,na ,
1,11,2017,warwick,50,aliquots,4,na ,
1,11,2017,warwick,50,cyclopoid,84,copepod,
1,11,2017,warwick,50,nauplii,750,nauplii,
1,11,2017,warwick,50,rotifer,3086,rotifer,
1,11,2017,warwick,50,bosmina,205,cladocera,
1,11,2017,warwick,50,eubosmina,1,cladocera,
5,7,2017,yawgoo,50,dilution,80,na ,
5,7,2017,yawgoo,50,aliquots,5,na ,
5,7,2017,yawgoo,50,calanoid,213,copepod,
5,7,2017,yawgoo,50,cyclopoid,164,copepod,
5,7,2017,yawgoo,50,nauplii,687,nauplii,
5,7,2017,yawgoo,50,rotifer,1823,rotifer,
5,7,2017,yawgoo,50,daphnia,86,cladocera,
5,7,2017,yawgoo,50,diaphanosoma,8,cladocera,
5,7,2017,yawgoo,50,bosmina,2,cladocera,
5,7,2017,yawgoo,50,eubosmina,1,cladocera,
10,7,2017,yawgoo,50,dilution,80,na ,
10,7,2017,yawgoo,50,aliquots,4,na ,
10,7,2017,yawgoo,50,calanoid,198,copepod,
10,7,2017,yawgoo,50,cyclopoid,146,copepod,
10,7,2017,yawgoo,50,nauplii,636,nauplii,
10,7,2017,yawgoo,50,rotifer,869,rotifer,
10,7,2017,yawgoo,50,daphnia,240,cladocera,
10,7,2017,yawgoo,50,diaphanosoma,7,cladocera,
10,7,2017,yawgoo,50,eubosmina,4,cladocera,
10,7,2017,yawgoo,50,chaoborus,2,chaoborus,
17,7,2017,yawgoo,50,dilution,100,na ,
17,7,2017,yawgoo,50,aliquots,5,na ,
17,7,2017,yawgoo,50,calanoid,231,copepod,
17,7,2017,yawgoo,50,cyclopoid,149,copepod,
17,7,2017,yawgoo,50,nauplii,663,nauplii,
17,7,2017,yawgoo,50,rotifer,597,rotifer,
17,7,2017,yawgoo,50,daphnia,155,cladocera,
17,7,2017,yawgoo,50,bosmina,8,cladocera,
17,7,2017,yawgoo,50,eubosmina,4,cladocera,
26,7,2017,yawgoo,50,dilution,100,na ,
26,7,2017,yawgoo,50,aliquots,5,na ,
26,7,2017,yawgoo,50,calanoid,105,copepod,
26,7,2017,yawgoo,50,cyclopoid,127,copepod,
26,7,2017,yawgoo,50,nauplii,1413,nauplii,
26,7,2017,yawgoo,50,rotifer,698,rotifer,
26,7,2017,yawgoo,50,daphnia,35,cladocera,
26,7,2017,yawgoo,50,eubosmina,7,cladocera,
26,7,2017,yawgoo,50,diaphanosoma,4,cladocera,
26,7,2017,yawgoo,50,bosmina,2,cladocera,
26,7,2017,yawgoo,50,chaoborus,1,chaoborus,
2,8,2017,yawgoo,50,dilution,100,na ,
2,8,2017,yawgoo,50,aliquots,5,na ,
2,8,2017,yawgoo,50,calanoid,145,copepod,
2,8,2017,yawgoo,50,cyclopoid,84,copepod,
2,8,2017,yawgoo,50,nauplii,528,nauplii,
2,8,2017,yawgoo,50,rotifer,926,rotifer,
2,8,2017,yawgoo,50,daphnia,11,cladocera,
2,8,2017,yawgoo,50,diaphanosoma,4,cladocera,
2,8,2017,yawgoo,50,eubosmina,14,cladocera,
2,8,2017,yawgoo,50,bosmina,3,cladocera,
9,8,2017,yawgoo,50,dilution,100,na ,
9,8,2017,yawgoo,50,aliquots,5,na ,
9,8,2017,yawgoo,50,calanoid,102,copepod,
9,8,2017,yawgoo,50,cyclopoid,114,copepod,
9,8,2017,yawgoo,50,nauplii,307,nauplii,
9,8,2017,yawgoo,50,rotifer,1116,rotifer,
9,8,2017,yawgoo,50,bosmina,9,cladocera,
9,8,2017,yawgoo,50,diaphanosoma,4,cladocera,
9,8,2017,yawgoo,50,eubosmina,11,cladocera,
14,8,2017,yawgoo,50,dilution,75,na ,
14,8,2017,yawgoo,50,aliquots,5,na ,
14,8,2017,yawgoo,50,calanoid,118,copepod,
14,8,2017,yawgoo,50,cyclopoid,209,copepod,
14,8,2017,yawgoo,50,nauplii,495,nauplii,
14,8,2017,yawgoo,50,rotifer,2721,rotifer,
14,8,2017,yawgoo,50,bosmina,21,cladocera,
14,8,2017,yawgoo,50,diaphanosoma,3,cladocera,
14,8,2017,yawgoo,50,eubosmina,5,cladocera,
24,8,2017,yawgoo,50,dilution,100,na ,
24,8,2017,yawgoo,50,aliquots,5,na ,
24,8,2017,yawgoo,50,calanoid,36,copepod,
24,8,2017,yawgoo,50,cyclopoid,199,copepod,
24,8,2017,yawgoo,50,nauplii,788,nauplii,
24,8,2017,yawgoo,50,rotifer,1648,rotifer,
24,8,2017,yawgoo,50,diaphanosoma,4,cladocera,
24,8,2017,yawgoo,50,eubosmina,5,cladocera,
24,8,2017,yawgoo,50,bosmina,1,cladocera,
28,8,2017,yawgoo,50,dilution,100,na ,
28,8,2017,yawgoo,50,aliquots,5,na ,
28,8,2017,yawgoo,50,calanoid,31,copepod,
28,8,2017,yawgoo,50,cyclopoid,125,copepod,
28,8,2017,yawgoo,50,nauplii,877,nauplii,
28,8,2017,yawgoo,50,rotifer,2089,rotifer,
28,8,2017,yawgoo,50,bosmina,25,cladocera,
28,8,2017,yawgoo,50,eubosmina,8,cladocera,
28,8,2017,yawgoo,50,diaphanosoma,2,cladocera,
5,9,2017,yawgoo,50,dilution,75,na ,
5,9,2017,yawgoo,50,aliquots,4,na ,
5,9,2017,yawgoo,50,calanoid,34,copepod,
5,9,2017,yawgoo,50,cyclopoid,207,copepod,
5,9,2017,yawgoo,50,nauplii,732,nauplii,
5,9,2017,yawgoo,50,rotifer,2646,rotifer,
5,9,2017,yawgoo,50,bosmina,92,cladocera,
5,9,2017,yawgoo,50,eubosmina,4,cladocera,
5,9,2017,yawgoo,50,diaphanosoma,2,cladocera,
12,9,2017,yawgoo,50,dilution,75,na ,
12,9,2017,yawgoo,50,aliquots,4,na ,
12,9,2017,yawgoo,50,calanoid,26,copepod,
12,9,2017,yawgoo,50,cyclopoid,194,copepod,
12,9,2017,yawgoo,50,nauplii,450,nauplii,
12,9,2017,yawgoo,50,rotifer,3582,rotifer,
12,9,2017,yawgoo,50,bosmina,90,cladocera,
12,9,2017,yawgoo,50,diaphanosoma,1,cladocera,
12,9,2017,yawgoo,50,eubosmina,1,cladocera,
18,9,2017,yawgoo,50,dilution,75,na ,
18,9,2017,yawgoo,50,aliquots,4,na ,
18,9,2017,yawgoo,50,calanoid,13,copepod,
18,9,2017,yawgoo,50,cyclopoid,276,copepod,
18,9,2017,yawgoo,50,nauplii,721,nauplii,
18,9,2017,yawgoo,50,rotifer,3801,rotifer,
18,9,2017,yawgoo,50,bosmina,26,cladocera,
25,9,2017,yawgoo,50,dilution,75,na ,
25,9,2017,yawgoo,50,aliquots,4,na ,
25,9,2017,yawgoo,50,calanoid,9,copepod,
25,9,2017,yawgoo,50,cyclopoid,209,copepod,
25,9,2017,yawgoo,50,nauplii,627,nauplii,
25,9,2017,yawgoo,50,rotifer,1980,rotifer,
25,9,2017,yawgoo,50,bosmina,269,cladocera,
2,10,2017,yawgoo,50,dilution,75,na ,
2,10,2017,yawgoo,50,aliquots,2,na ,
2,10,2017,yawgoo,50,calanoid,7,copepod,
2,10,2017,yawgoo,50,cyclopoid,198,copepod,
2,10,2017,yawgoo,50,nauplii,207,nauplii,
2,10,2017,yawgoo,50,rotifer,2334,rotifer,
2,10,2017,yawgoo,50,bosmina,281,cladocera,
2,10,2017,yawgoo,50,diaphanosoma,2,cladocera,
2,10,2017,yawgoo,50,eubosmina,2,cladocera,
10,10,2017,yawgoo,50,dilution,75,na ,
10,10,2017,yawgoo,50,aliquots,3,na ,
10,10,2017,yawgoo,50,calanoid,5,copepod,
10,10,2017,yawgoo,50,cyclopoid,187,copepod,
10,10,2017,yawgoo,50,nauplii,528,nauplii,
10,10,2017,yawgoo,50,rotifer,4467,rotifer,
10,10,2017,yawgoo,50,bosmina,252,cladocera,
10,10,2017,yawgoo,50,daphnia,1,cladocera,
10,10,2017,yawgoo,50,eubosmina,2,cladocera,
16,10,2017,yawgoo,50,dilution,50,na ,
16,10,2017,yawgoo,50,aliquots,3,na ,
16,10,2017,yawgoo,50,calanoid,9,copepod,
16,10,2017,yawgoo,50,cyclopoid,126,copepod,
